"id_salarié","Contrat","Durée hebdo","Salaire base mensuel","%variable_moyen","Augmentation","Promotion","Ancienneté_an","Distance domicile/Travail","Service","Work_accident","Niveau de satisfaction","Sexe","Enfants","age","tranche d'age"
"16451016-1336","CDD",35,3693.0833,24,,,0.3,42,"Marketing","Non",25,"H",2,44,"40-50"
"16770802-4604","CDD",35,3033.3333,8,,,0.4,17,"Consultant","Oui",24,"F",2,66,"60-70"
"16730918-6273","CDD",35,2426.6667,21,,,0.6,14,"Marketing","Oui",70,"F",1,55,"50-60"
"16670913-0147","CDD",35,3201.6833,38,,,0.8,8,"Compta Finances","Oui",45,"F",1,31,"30-40"
"16690714-7836","CDD",35,3640,6,,,1.1,9,"Marketing","Oui",96,"F",1,51,"50-60"
"16091122-3147","CDD",35,2226.4667,2,,,1.1,14,"Consultant","Non",81,"F",3,38,"30-40"
"16081104-1011","CDD",35,1920.1,17,,,1.1,31,"Compta Finances","Non",18,"F",3,36,"30-40"
"16441109-5385","CDD",32,2357.3333,12,,,1.2,12,"Consultant","Non",100,"H",1,55,"50-60"
"16891203-4397","CDD",32,2496,21,,,1.3,43,"Consultant","Oui",6,"F",0,54,"50-60"
"16810820-7468","CDD",35,3168.3167,10,,,1.4,42,"Consultant","Non",18,"F",3,50,"40-50"
"16810711-6330","CDD",35,1989.8667,5,,,1.4,67,"Marketing","Non",19,"H",0,41,"40-50"
"16790704-0179","CDD",35,3185,3,,,1.7,60,"Commercial","Oui",58,"F",3,50,"40-50"
"16540728-0337","CDD",35,2123.3333,39,,,1.8,6,"Compta Finances","Non",84,"F",1,62,"60-70"
"16301213-1524","CDD",35,2558.6167,22,,,1.8,59,"Consultant","Non",59,"H",2,43,"40-50"
"16740208-0084","CDD",35,2881.6667,27,,,1.9,15,"Commercial","Oui",76,"F",1,58,"50-60"
"16810230-7785","CDI",35,1863.9833,12,1,1,2.5,55,"Marketing","Non",67,"F",3,38,"30-40"
"16440228-5151","CDI",35,4449.9,33,1,1,2.9,3,"Consultant","Non",2,"H",3,56,"50-60"
"16140409-8707","CDI",35,6838.65,5,0,0,3,6,"Commercial","Non",41,"F",3,36,"30-40"
"16891006-1830","CDI",35,3486.8167,19,0,1,3.1,13,"RH","Non",65,"H",2,35,"30-40"
"16920219-1855","CDI",35,2132.4333,18,1,1,3.2,15,"Consultant","Oui",60,"F",3,51,"50-60"
"16960906-7989","CDD",35,2848.3,15,1,0,3.3,15,"R&D","Oui",81,"H",0,39,"30-40"
"16181212-5860","CDI",35,2675.4,20,1,0,3.4,42,"Consultant","Oui",60,"H",0,59,"50-60"
"16360827-6352","CDI",35,2008.0667,35,0,0,3.5,61,"Compta Finances","Non",44,"F",1,32,"30-40"
"16831218-0485","CDI",35,7157.15,3,0,0,3.7,26,"RH","Oui",6,"F",0,43,"40-50"
"16770513-2772","CDI",35,7672.8167,37,1,1,3.8,30,"Consultant","Non",77,"F",3,46,"40-50"
"16330117-4748","CDI",35,2070.25,34,0,0,3.8,53,"Commercial","Non",58,"F",1,63,"60-70"
"16770921-1705","CDI",35,6356.35,26,1,0,4.2,40,"R&D","Oui",4,"F",1,40,"40-50"
"16640301-8754","CDI",35,2912,35,0,1,4.2,65,"Marketing","Oui",40,"F",2,61,"60-70"
"16260415-5834","CDI",35,5212.7833,11,0,0,4.2,39,"R&D","Oui",32,"H",0,55,"50-60"
"16640904-2246","CDI",35,1803.3167,8,1,0,4.4,67,"Consultant","Oui",81,"H",3,37,"30-40"
"16270818-3112","CDI",35,5076.2833,33,0,0,4.4,43,"RH","Non",20,"F",0,58,"50-60"
"16141213-3603","CDI",35,6212.2667,5,1,0,4.6,51,"Commercial","Oui",3,"F",2,50,"40-50"
"16360616-0509","CDI",35,4198.1333,34,1,1,4.8,33,"Compta Finances","Non",14,"F",2,37,"30-40"
"16610522-9428","CDI",35,8332.5667,12,0,0,5.2,34,"Compta Finances","Non",42,"F",3,43,"40-50"
"16100419-9707","CDI",35,8746.6167,19,0,1,5.2,5,"RH","Non",62,"F",3,41,"40-50"
"16891227-4985","CDI",35,2052.05,13,1,1,5.3,60,"Compta Finances","Oui",12,"F",0,34,"30-40"
"16660922-3489","CDI",35,2928.6833,33,1,1,5.3,30,"Commercial","Oui",97,"F",1,59,"50-60"
"16681012-6406","CDI",35,1774.5,16,1,1,5.5,43,"Consultant","Non",47,"F",2,54,"50-60"
"16350925-6446","CDI",35,1979.25,6,1,1,5.5,46,"Compta Finances","Non",31,"H",2,45,"40-50"
"16281009-4371","CDI",35,7185.9667,7,1,1,5.5,67,"Compta Finances","Non",66,"H",2,65,"60-70"
"16620809-2681","CDI",24,4795.44,19,0,1,5.6,7,"Consultant","Oui",33,"H",0,36,"30-40"
"16300407-2348","CDI",35,1703.2167,39,1,0,5.7,24,"Consultant","Non",87,"F",3,52,"50-60"
"16900610-6265","CDI",35,9096.9667,21,0,1,5.8,44,"R&D","Oui",8,"H",3,63,"60-70"
"16810725-6144","CDI",35,4499.95,22,1,0,5.8,59,"RH","Oui",46,"H",1,56,"50-60"
"16400120-2136","CDI",35,5810.35,36,1,0,5.8,61,"Consultant","Oui",94,"H",1,44,"40-50"
"16940521-7028","CDI",35,5522.1833,9,1,1,5.9,70,"RH","Oui",7,"F",2,67,"60-70"
"16510216-5973","CDI",35,5930.1667,33,0,0,5.9,23,"Marketing","Non",37,"H",3,48,"40-50"
"16840316-2442","CDI",35,7377.0667,17,1,1,6,67,"Compta Finances","Oui",70,"F",1,64,"60-70"
"16170926-3188","CDI",35,6494.3667,1,0,0,6,12,"R&D","Oui",30,"H",0,44,"40-50"
"16160206-9161","CDI",35,2834.65,15,1,0,6.2,61,"Consultant","Non",24,"H",3,67,"60-70"
"16761104-5282","CDI",24,1110.72,14,1,1,6.3,17,"Consultant","Oui",30,"H",0,55,"50-60"
"16560517-2740","CDI",35,8337.1167,16,0,1,6.3,29,"Commercial","Oui",14,"H",0,39,"30-40"
"16030220-7121","CDI",35,9782.5,38,0,1,6.3,23,"Consultant","Non",69,"F",0,49,"40-50"
"16231022-5566","CDI",35,9635.3833,19,1,0,6.4,68,"RH","Oui",32,"H",2,47,"40-50"
"16711027-7246","CDI",35,7178.3833,38,1,0,6.5,68,"Consultant","Oui",89,"H",2,38,"30-40"
"16290714-4014","CDI",35,2027.7833,19,0,1,6.6,58,"Consultant","Non",92,"F",1,41,"40-50"
